pID	gr
2677900	3
30050099	2
3066666	2
4355362	10
1610488	2
2695955	3
4096778	1
1879430	3
2359385	2
50132	1
2632344	3
31373	1
1480264	6
4603400	8
3058918	2
2394943	1
20491071	1
2363082	2
1252256	6
3144000	2
40229851	4
2530874	5
2444094	1
3558798	1
3663946	3
25123766	3
4219381	1
43519	2
2242667	5
1935342	1
25084970	5
1221105	1
4117059	1
1447700	1
1611115	2
2424991	1
40962399	1
2523989	3
64429	2
3569830	3
1934697	1
2109539	3
1368849	1
2130924	7
1734112	2
3447136	6
61639	5
20059830	2
3837367	1
202049	4
2000217	5
3699443	10
2404877	1
4092079	1
1129188	4
3989996	3
3809656	1
1716102	2
2523172	6
671529	6
1469904	1
4492853	3
3501093	3
1700039	2
1494313	10
40058649	2
3059136	2
40441834	2
2404036	1
2135263	4
20700427	1
3088884	6
1608686	2
26359	2
27537076	4
40981078	4
1606547	2
4222520	1
63170	2
3869737	2
20063825	1
4540895	6
40388697	3
29242	2
40043142	3
223040	6
2445714	1
1934938	1
3132147	3
4092332	9
20144257	1
4523692	1
54530	2
20144987	2
2435813	1
20004341	8
1534313	5
586351	7
1619557	2
2416209	5
25449094	2
2441802	1
29486	2
4601584	1
2358840	2
40081	2
2174028	4
2647824	9
1353793	1
4118782	1
1936063	1
4600032	1
3146444	3
40346312	1
2680635	5
63238	2
189764	4
25605002	8
3058985	2
40466039	8
1691121	2
1426745	5
3055446	2
76871	2
40590116	8
2281913	5
3512386	4
1377770	1
2367072	2
40338911	4
2951106	4
3546118	1
35605	1
5997	1
3547449	1
23011570	8
25055898	3
2985107	5
45631	2
2355852	2
4123870	1
3514491	1
2401634	1
1934820	1
1390699	5
40439595	3
1610972	2
3319200	9
41058171	1
2938258	3
4152830	3
4217116	1
2239725	5
2336612	3
40660241	6
3566820	10
1303135	1
30219961	10
30075835	1
1542810	1
27698272	3
25830855	3
439747	9
247760	3
3839101	3
1608931	2
2243226	5
30115061	2
3318445	5
1745159	2
2396122	1
1614321	2
179900	8
30244566	1
3078472	3
2240647	3
49336	5
40228960	3
3072247	1
3837622	2
20142247	6
586099	9
4298014	1
25145179	1
29737696	6
40965668	6
62588	2
3431173	2
2558078	1
2291676	5
2937943	3
3677476	1
2355616	2
177245	1
3181342	9
2959019	5
4274673	2
270971	5
4093115	3
2555661	3
1611427	2
1521212	1
4273830	2
29772134	2
40605358	6
2984801	3
3761063	2
41148203	1
30050740	2
1618019	2
25086096	1
3083928	1
1622138	2
40197363	6
20183430	3
2764718	4
1688454	4
3802711	1
2356350	2
25074077	3
4220708	1
30164290	1
41219398	10
1401252	5
2257525	1
1830547	3
2485244	1
3214412	5
25450271	2
2458510	1
40605741	6
56767	1
2656938	1
591849	6
3658120	2
1602723	4
4235476	8
3627335	1
40282950	3
3467117	3
2354561	2
3892464	1
2444043	1
1444007	1
3054948	2
3514586	1
4461535	1
2409533	1
20054501	1
2527100	3
25436037	1
2487651	3
3059000	2
41236111	3
2354987	2
3068422	5
3843413	1
40210573	1
4392671	8
58832	2
2472142	1
2523171	3
40420777	4
134704	3
586427	9
1511208	10
2874720	2
1164244	4
4151800	10
3857548	6
3219898	9
55721	1
25047085	5
3760809	1
2131770	9
40064826	2
2629479	6
30126168	2
2356831	2
40063376	6
2575746	4
4188892	6
40454853	1
122764	1
2420377	1
2415164	1
20171542	2
40483572	2
1605462	2
4044212	1
20062313	1
422237	3
9223	2
2269594	1
20794349	1
3589209	1
30245216	1
4180465	1
1440797	1
25052977	5
2682999	5
2487773	3
25066587	1
68731	2
4089246	1
640683	8
1937248	1
3149879	6
2236980	5
2630648	6
353105	4
14521	2
1732098	2
2408894	1
3883621	1
4132876	8
4034189	1
3003356	3
123880	2
1713542	1
1467651	1
146138	3
3058551	1
3318449	5
41360	2
2656112	1
25063629	1
4092268	9
3988187	1
3705227	1
28469	2
4601943	1
3744840	8
2401038	1
3674207	1
20443260	1
40282763	3
2357007	2
3515222	1
3559156	1
1479083	1
2439624	1
1622035	2
3150481	6
2260225	1
20152286	10
1542255	1
20103471	1
1350911	1
1165849	4
41166396	6
40536397	2
1480548	6
40483312	2
2363554	2
121397	2
2365167	1
25569802	2
25614205	4
27651077	1
3515190	1
3898067	1
20101960	1
55929	1
3003165	3
1697772	2
20371344	1
4271804	2
1610532	2
3712369	4
1884025	3
2356170	2
1393201	10
1934132	1
26704	2
3214841	5
2486368	6
40343427	1
2989846	1
20536647	1
30243850	1
4220228	1
2109700	3
4296335	2
4621913	1
1691125	2
40589401	6
40793143	1
3837954	2
41106425	3
3801903	1
2365751	2
28916	2
23535	2
41217916	5
4124694	1
2360795	2
3083171	1
3813242	4
1163770	10
4599669	1
3835329	2
353039	4
46996	2
1161268	8
20406061	1
3449093	1
25418314	2
34717	2
20050995	1
3213524	5
3677574	1
2260923	1
39891	2
56840	2
30049629	2
3565492	1
3481803	10
3883186	1
4164011	1
40663239	5
2400982	1
9701	2
4219455	1
2096136	4
3835376	1
1162382	10
4314922	1
20172013	1
2563304	1
3553802	5
2524737	3
2766536	4
3286472	2
1720880	1
2099602	5
25074992	6
1695365	1
4496162	1
40397937	6
2635291	6
4142385	2
1392121	3
1996755	5
40800611	1
4223649	1
4086116	1
2779882	5
1514451	1
2441512	2
25483939	3
25465650	2
1981903	6
171881	3
1243863	3
1123729	7
4275760	2
63814	2
2366176	1
4218775	1
1001748	10
3798044	1
2555750	3
1585926	10
3583374	2
4090276	1
2368146	2
1601952	2
2652991	5
4250990	1
20475965	2
2336249	5
20622743	8
2458579	1
4009641	1
2574154	4
3598403	6
4484521	2
1604266	2
61325	2
3375940	2
3869250	2
38184	1
3494058	1
2284777	3
60595	2
4296135	2
1186282	3
25123871	6
1427585	5
3375524	2
3873056	1
1309209	1
2669747	5
30027005	9
3374742	1
3558796	1
1611134	2
2357147	2
1618757	2
4412238	3
2335150	1
3545427	1
2837007	1
3883338	1
2649132	6
3285927	1
1685837	1
2557113	1
1158830	8
67053	2
4313334	8
3315048	5
2475310	1
66452	2
3798524	1
40295714	3
25082577	1
3226090	2
3874643	1
25147124	3
20793855	1
40802627	1
2588644	1
2529516	5
3059435	2
4188530	6
1369937	1
25682206	4
2423575	1
3761914	1
4498485	6
3550482	3
3371830	2
1061360	3
3987656	1
3598798	3
3593381	7
2289777	5
3502691	3
3494809	1
1045649	4
40473447	3
45873	2
39972	2
20105098	1
1305616	1
1344514	3
4033677	1
40058493	1
1421591	10
1620640	2
3801114	1
4628	1
3151726	6
